Severity,Code,Description,Last Change,DN
major,F2833,"PBR service redir grp id 4 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason tracked as down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/destgrp-4/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason tracked as down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/destgrp-3/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state. Reason: Service Device is tracked as down,2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/destgrp-4/rsdestAtt-[topology/pod-1/node-3102/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason tracked as down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state. Reason: Service Device is tracked as down,2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-3102/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason tracked as down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2397
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason Health grp service is down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason Health grp service is down.",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason : tracked as down",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 3102 fabric hostname DC2-SVR-LEAF-3102 is in failed state, reason : tracked as down",2025-02-26T20:11:27.451+07:00,topology/pod-1/node-3102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2995
major,F1296,vPC DC2-L3101-3102-E3-VPC-IPG is down in Pod 1 node 3102 fabric hostname DC2-SVR-LEAF-3102,2025-09-18T17:36:02.436+07:00,topology/pod-1/node-3102/sys/vpc/inst/dom-11/if-2/fault-F1296
critical,F0532,"Port is down, reason being noOperMembers(connected), used by EPG on node 3102 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3102",2025-09-18T17:36:02.436+07:00,topology/pod-1/node-3102/sys/aggr-[po7]/aggrif/fault-F0532
major,F2833,"PBR service redir grp id 3 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason tracked as down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2833,"PBR service redir grp id 4 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason tracked as down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/destgrp-4/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason tracked as down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason tracked as down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state. Reason: Service Device is tracked as down,2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-3131/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]]/fault-F4203
major,F4203,The PBR destination in the PBR destination group on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state. Reason: Service Device is tracked as down,2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/destgrp-4/rsdestAtt-[topology/pod-1/node-3131/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason Health grp service is down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason Health grp service is down.",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason : tracked as down",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 3131 fabric hostname DC2-SVR-LEAF-3131 is in failed state, reason : tracked as down",2025-03-04T04:37:03.031+07:00,topology/pod-1/node-3131/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2995
major,F2833,"PBR service redir grp id 3 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason tracked as down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2833,"PBR service redir grp id 4 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason tracked as down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/destgrp-4/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason tracked as down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state. Reason: Service Device is tracked as down,2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-3132/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason tracked as down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state. Reason: Service Device is tracked as down,2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/destgrp-4/rsdestAtt-[topology/pod-1/node-3132/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason Health grp service is down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason Health grp service is down.",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason : tracked as down",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 3132 fabric hostname DC2-SVR-LEAF-3132 is in failed state, reason : tracked as down",2025-03-04T04:37:08.883+07:00,topology/pod-1/node-3132/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2995
critical,F1907,"Management port is down, reason being fail on node 3126 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3126",2024-09-19T17:39:33.416+07:00,topology/pod-1/node-3126/sys/mgmt-[mgmt0]/mgmt/fault-F1907
major,F1425,"IPv4 address(10.222.251.95/24) is operationally down, reason:Interface down on                          node 3126                           fabric hostname DC2-SVR-LEAF-3126",2024-09-19T17:45:33.494+07:00,topology/pod-1/node-3126/sys/ipv4/inst/dom-management/if-[mgmt0]/addr-[10.222.251.95/24]/fault-F1425
critical,F1907,"Management port is down, reason being fail on node 3127 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3127",2024-09-19T17:39:22.360+07:00,topology/pod-1/node-3127/sys/mgmt-[mgmt0]/mgmt/fault-F1907
