Severity,Code,Description,Last Change,DN
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::1 on nodeid 2111 fabric hostname DRC-SVR-LEAF-2111-LT1 is in failed state, reason Health grp service is down.",2024-09-19T14:31:29.388+00:00,topology/pod-1/node-2111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.8 in vrf common:COMMON-VRF on nodeid 2111 fabric hostname DRC-SVR-LEAF-2111-LT1 is in failed state, reason : tracked as down",2024-09-19T14:31:29.388+00:00,topology/pod-1/node-2111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.8]-[vxlan-3014656]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.2 in vrf common:COMMON-VRF on nodeid 2111 fabric hostname DRC-SVR-LEAF-2111-LT1 is in failed state, reason : tracked as down",2024-09-19T14:31:29.388+00:00,topology/pod-1/node-2111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.2]-[vxlan-3014656]/fault-F2995
major,F2833,"PBR service redir grp id 1 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-1/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.136 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2686977]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2686977]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state. Reason: Service Device is tracked as down,2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2686977]]/fault-F4203
major,F4203,The PBR destination in the PBR destination group on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state. Reason: Service Device is tracked as down,2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-1/rsdestAtt-[topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2686977]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::3 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason Health grp service is down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason Health grp service is down.",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason : tracked as down",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2686977]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.136 in vrf common:CRITICAL-VRF on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason : tracked as down",2024-09-26T13:51:36.841+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.136]-[vxlan-2686977]/fault-F2995
major,F2833,"PBR service redir grp id 7 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-7/fault-F2833
major,F2833,"PBR service redir grp id 6 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-6/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.2 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.2]-[vxlan-3014656]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.8 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-3014656]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state. Reason: Service Device is tracked as down,2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-7/rsdestAtt-[topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.2]-[vxlan-3014656]]/fault-F4203
major,F4203,The PBR destination in the PBR destination group on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state. Reason: Service Device is tracked as down,2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-6/rsdestAtt-[topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-3014656]]/fault-F4203
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::3 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason Health grp service is down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.8 in vrf common:COMMON-VRF on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason : tracked as down",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.8]-[vxlan-3014656]/fault-F2995
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::1 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason Health grp service is down.",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.2 in vrf common:COMMON-VRF on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason : tracked as down",2025-02-21T08:31:59.173+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.2]-[vxlan-3014656]/fault-F2995
major,F2833,"PBR service redir grp id 8 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-08-14T18:40:07.630+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-8/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.165 on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason tracked as down.",2025-08-14T18:40:07.630+00:00,topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.165]-[vxlan-2686977]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state. Reason: Service Device is tracked as down,2025-08-14T18:40:07.630+00:00,topology/pod-1/node-2104/sys/svcredir/inst/destgrp-8/rsdestAtt-[topology/pod-1/node-2104/sys/svcredir/inst/dest-[10.220.245.165]-[vxlan-2686977]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-NS-FW-ONEARM--ndo--implct on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason Health grp service is down.",2025-08-14T18:40:07.630+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-NS-FW-ONEARM--ndo--implct/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.165 in vrf common:CRITICAL-VRF on nodeid 2104 fabric hostname DRC-SVR-LEAF-2104-LT1 is in failed state, reason : tracked as down",2025-08-14T18:40:07.630+00:00,topology/pod-1/node-2104/sys/svcredir/inst/healthgrp-common::CRITICAL-NS-FW-ONEARM--ndo--implct/dest-[10.220.245.165]-[vxlan-2686977]/fault-F2995
critical,F0532,"Port is down, reason being sfpAbsent(connected), used by EPG on node 2103 of fabric DRC-ACI-01 with hostname DRC-SVR-LEAF-2103-LT1",2025-02-21T08:28:52.307+00:00,topology/pod-1/node-2103/sys/phys-[eth1/11]/phys/fault-F0532
major,F2833,"PBR service redir grp id 1 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-1/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-3/fault-F2833
major,F2397,"PBR service source with destination ip 10.220.245.136 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2686977]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2686977]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state. Reason: Service Device is tracked as down,2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2686977]]/fault-F4203
